,input_sentences,onlylabel_preds,onlylabel_gts,preds,gts
33,"yyc @ user looking hockey players of all ages / abilities for our humboldt tribute game sunday 9 / 16. arrive 2pm, dress, participate in our opening ceremony. contact lindsay. clothier @ user if you are interested! we play for them humboldt strong hockey is family go nuc ks",wrong-pred,the model observed classified not offensive,humboldt strong hockey is family go nuc ks humbold,the model observed classified not offensive
34,conservatives br exit putting britain last. sending a chill down the spine of the uk,wrong-pred,the model observed classified not offensive,conservatives br exit putting britain last. uk last in the poll,the model observed classified not offensive
35,gamers go follow @ user on twitter and twitch he is playing with @ user on black ops4 blackout please help and support them both on twitter and twitch. remember all support for support and support all streamers url,wrong-pred,the model observed classified not offensive,twitch and twitter are the main streamers for black ops 4 blackout ,the model observed classified not offensive
36,"quick tip find people already working in a company, or within the industry that you are interested in. we know a lot of people! send us your resume to info @ user or message us right now url url",wrong-pred,the model observed classified not offensive,url url url url url url url url url ,the model observed classified not offensive
37,liberal logic if liberals get their way..... url,wrong-pred,the model observed classified not offensive,.... url=http://www.liberallogic.,the model observed classified not offensive
38,"ariana ases in a is that serious?! holy shit, please your fucking assholes, don't blame someone for the death of other one. she is sad enough for today, don't you see? it isn't fault of none, he had an overdose and died. end. stop wanting someone to blame, fu",wrong-pred,the model observed classified offensive,ariana ases in a is that serious?? holy s,"the model observed classified offensive since the following words showed up shit, fucking, assholes, death, died, fuckers ."
39,@ user how is she hiding her ugly personality. she is the worst.,wrong-pred,the model observed classified offensive,@ user how is she hiding her ugly personality.,the model observed classified offensive since the following words showed up ugly .
40,...... bitch what url,wrong-pred,the model observed classified offensive,....... bitch what url,the model observed classified offensive since the following words showed up bitch .
41,"georgetown classmate says left accuser is absolutely nuts "" url "" judge kavanaugh "" @ user @ user @ user abc cbs democrats liberals women monday motivation monday morning veterans law maga gop cnn msnbc nbc moms black women bet",wrong-pred,the model observed classified not offensive,cnn msnbc nbc moms black women be,the model observed classified not offensive
42,@ user @ user @ user are you referring to how they lollygag with gun control as their kids get slaughtered in schools?,wrong-pred,the model observed classified not offensive,@ user @ user @ user @ user @ user @ user @ user @ user are,the model observed classified not offensive
43,@ user @ user @ user @ user @ user @ user @ user @ user @ user i ’ m shocked to learn human traffickers had guns. some probably illegal too. ca needs more gun control. but don ’ t worry about the actual crime. the pic of black guns is worse.,wrong-pred,the model observed classified offensive,i ’ m shocked to learn human traffickers had guns. some probably illegal,"the model observed classified offensive since the following words showed up illegal, gun, crime, black ."
44,we love seung cheol @ user i am happy and proud of the work you have done to train seventeen along with the other members. i see you and you are wonderful and incredible. i really love u  two hearts. url,wrong-pred,the model observed classified not offensive,i am happy and proud of the work you have done to train seventeen along with the other,the model observed classified not offensive
45,chequers is a violation of democracy!! stand up 4brexit @ user @ user @ user the will of the people must be respected url,wrong-pred,the model observed classified not offensive,! stand up 4brexit @ user @ user @ user the will of the people,the model observed classified not offensive
46,sessions tells chicago “ if you want more shootings more death listen to aclu antifa black lives matter url,wrong-pred,the model observed classified not offensive,“ if you want more shootings more death listen to aclu antifa,the model observed classified not offensive
47,conservatives @ user - you're a clown! url,wrong-pred,the model observed classified offensive,url - you're a clown! url - you,the model observed classified offensive since the following words showed up clown .
48,* voice in my head while i transfer money to my credit card * “ bullshit that i bought and have to pay for ”,wrong-pred,the model observed classified offensive,* * voice in my head while i transfer money to my credit card * “,the model observed classified offensive since the following words showed up bullshit .
49,levi strauss has “ never been afraid to take an unpopular stand to support a greater good. ”'what about when they shut down all manufacturing in america? that wasn't even a news story when it happened. maybe they're right ; it wasn't unpopular. url,wrong-pred,the model observed classified not offensive,levi strauss has “ never been afraid to take an unpopular stand to support,the model observed classified not offensive
50,"@ user $ 500, 000 for her wedding. clinton's always know what's best.",wrong-pred,the model observed classified not offensive,clinton's always know what's best.,the model observed classified not offensive
51,kids beating paraplegic trump boy left teach their children hate violence! schools teachers democrats liberals walk away moms mother nea teach them young christian catholic jews evangelicals family black women black twitter blacks news media disabled maga url,wrong-pred,the model observed classified offensive,trump boy left teach their children hate violence!,"the model observed classified offensive since the following words showed up violence, christian, catholic, black, black, blacks ."
52,"0 - 9 b - 1, j - 1, r - 1, b - 2, q - 2, b - 3, bx - 3, b - 4, rb - 4, z - 4, b - 5, q - 5, b - 6, ",wrong-pred,the model observed classified not offensive,"0 - 9 b - 1, j - 1,",the model observed classified not offensive
53,"ask ally i only say that i adore you and you are a great person, please take care of yourself always red heart",wrong-pred,the model observed classified not offensive,ally i can only say that i adore you and you are a,the model observed classified not offensive
54,"doj employee resisters "" r looking up conservatives ’ license plates, home addresses, legal details in lexisnexis 2give to dem socialists / antifa - project veritas. but don't worry, no govt in history has ever made political opponent lists and oppressed them face with rolling eyes url",wrong-pred,the model observed classified not offensive,"r looking up conservatives ’ license plates, home addresses, legal details in",the model observed classified not offensive
55,kelly mcparland latest floor - crosser is telling truths the liberals don ’ t like hearing - url url,wrong-pred,the model observed classified not offensive,kelly mcparland latest floor - crosser is telling truths,the model observed classified not offensive
56,great awakening q a non patriots united wwg1wga are you awake when you are awake you see clearly red heart orange heart yellow heart green heart check out this video url url,wrong-pred,the model observed classified not offensive,a non patriots united wwg1wga are you awake,the model observed classified not offensive
57,"boycott levis since the late 1990s, levi ’ s has used its name and resources to attack gun rights. in 1999, the company gave $ 100, 000 to gun control group pax, followed by a $ 250, 000 donation in 2000 and another $ 100, 000 in 2001. url",wrong-pred,the model observed classified not offensive,levi ’ s has used its name and resources to attack gun rights. le,the model observed classified not offensive
58,are you fucking serious? url,wrong-pred,the model observed classified not offensive,"url=""http://www.fucking.com/fucking_ser",the model observed classified not offensive
59,* gets all the bitches *,wrong-pred,the model observed classified offensive,gets all the bitches * gets all the bitches * gets all the bitches *,the model observed classified offensive since the following words showed up bitches .
60,@ user @ user @ user i got in a pretty deep debate with my friend and she told me that latinos for trump and blacks for trump were paid supporters face with tears of joy then i said you mean antifa are paid domestic terrorist and she said no they are anti - fascist then i said they are the fascist are you kidding me?!,wrong-pred,the model observed classified not offensive,i got in a pretty deep debate with my friend and she told me that latin,the model observed classified not offensive
61,antifa take note of how to protest with civility. this is why socialism ( aka communism ) will never win. it is inherently evil and unsustainable. url,wrong-pred,the model observed classified offensive,antifa take note of how to protest with civility.,the model observed classified offensive since the following words showed up evil .
62,gmm roast my cat hi @ user this is fiona. she is about 10 weeks old. she falls asleep in weird places url,wrong-pred,the model observed classified not offensive,gmm roast my cat hi this is fiona. she is about 10 weeks,the model observed classified not offensive
63,@ user omg is he for real?!?!!?????? ) this happened in peru like 40 years ago and the inti devaluated so fucking much that they had to comoletely change the coin system because our money was worthless i -,wrong-pred,the model observed classified offensive,i - i - i - i - i ,"the model observed classified offensive since the following words showed up fucking, worthless ."
64,"conservatism 101 it's not about our disagreements with conservatives its that conservatives can't debate honestly, and they have no integrity. whatever gets them thru today, is all that matters to them. they're fundamentally dishonest people. url",wrong-pred,the model observed classified offensive,conservatives can't debate honestly. they're fundamentally dish,"the model observed classified offensive since the following words showed up dishonest, people ."
65,halloween sign if you are reading this creeping up behind you wood wall decoration tmt insta cw signs url via @ user,wrong-pred,the model observed classified not offensive,you will see a creepy wood wall decoration cw signs url via,the model observed classified not offensive
66,"hun i a chi week no matter what you are going through today or in the past few days, your situation is never permanent. god is going to change your life for good. trust and believe that he is able to. please, read... url",wrong-pred,the model observed classified not offensive,hun i a chi week no matter what you are going through today or,the model observed classified not offensive
67,@ user my only point of contention is this. he decided to keep this group which has top end talent and also decided to hire hot trash mike mccoy. wilks hasn't even been able to get his defense to line up correctly. he is in over his head.,wrong-pred,the model observed classified not offensive,wilks hasn't even been able to get his defense,the model observed classified not offensive
68,and yet everyone seems to lack it url,wrong-pred,the model observed classified not offensive,and yet everyone seems to lack it url.,the model observed classified not offensive
69,maga expect more censorship url,wrong-pred,the model observed classified not offensive,url expect more censorship expect more censorship url expect more censorship,the model observed classified not offensive
70,and apparently i'm committed to going to a new level since i used the key. well fuck. curiosity killed the cat ( hy ),wrong-pred,the model observed classified offensive,i'm committed to going to a new level since i used the,"the model observed classified offensive since the following words showed up fuck, killed ."
71,ne need to check out a dentist and find out if she is has a perfect work record? what about a child care facility? now you can check online for all kinds of licensed professionals and it's free @ url,wrong-pred,the model observed classified not offensive,?????? ,the model observed classified not offensive
72,@ user @ user @ user @ user then why aren ’ t there so many shootings in virginia? jacksonville shooter got his guns in maryland!! among the poster children for gun control! what good did that do?! you ’ re full of crap.,wrong-pred,the model observed classified offensive,jacksonville shooter got his guns in maryland!!,"the model observed classified offensive since the following words showed up gun, do, crap ."
73,amnesty international us is in violation of international human rights law by not passing stronger gun control url via @ user url,wrong-pred,the model observed classified not offensive,amnesty international us is in violation of international human rights law by not passing stronger gun,the model observed classified not offensive
74,@ user well she is chuck schumer's cousin or niece or something so she is obviously part of the dnc conspiracy against nixon. or part of the deep state. or a zionist plot. or'big comedy '. or whatever the hell today's conspiracy theory is.,wrong-pred,the model observed classified not offensive,@ user well she is obviously part of the dnc conspiracy against nixon,the model observed classified not offensive
75,gods praise room god keeps you even in the storms that may rock your boat - let's all submit to his will after all he is the only one who really knows the end from the beginning url,wrong-pred,the model observed classified not offensive,gods praise room god keeps you even in the storms that may rock your boat -,the model observed classified not offensive
76,spal do is my guy. he is my godson,wrong-pred,the model observed classified not offensive,spal do is my godson. he is my godson. spal,the model observed classified not offensive
77,"antifa are bedfellows with the democratic socialists of america ( dsa ) who james okeefe has exposed as being inserted throughout government, attempting to bring down america trump maga deep state url",wrong-pred,the model observed classified offensive,"dsa, dsa, antifa, antif",the model observed classified offensive since the following words showed up  .
78,cnn ruthlessly continues fake news onslot. where's the honest analysis? right here! url t cot cnn nra mass shooting cnn is fake news conservatives fake news media fake news pba fake news cnn,wrong-pred,the model observed classified not offensive,cnn is fake news conservatives fake news pba fake news c,the model observed classified not offensive
79,br exit barometer labour fails to capitalise as conservatives fail to please ; kantar nearly two thirds of the uk believe the government is handling brexit negotations poorly. url,wrong-pred,the model observed classified not offensive,nearly two thirds of the uk believe the government is handling brexit negotiations poorly,the model observed classified not offensive
80,@ user antifa has ts level influence. it's scary.,wrong-pred,the model observed classified offensive,.,the model observed classified offensive since the following words showed up  .
81,"@ user i have three accounts. two quasi - anonymous, and one completely anon. and if twitter ever bans one of the quasi - anon, i'll make two anon accounts and tweet the most insane shit. i will drown twitter in bullshit. if one of those is banned, i'll make even more.",wrong-pred,the model observed classified offensive,"i have three accounts. two quasi - anonymous, and one completely anon","the model observed classified offensive since the following words showed up insane, shit, bullshit ."
82,maga alert joe biden on trump supporters'the dregs of society'( video ) url via @ user,wrong-pred,the model observed classified not offensive,joe biden on trump supporters'the dregs of,the model observed classified not offensive
83,$ cerc is now boyd's 1 stock. and he is the sole holder of the stock among hedge funds we track. url,wrong-pred,the model observed classified not offensive,boyd's 1 stock. and he is now the sole holder,the model observed classified not offensive
84,"@ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user city of chicago, democrat run with some of the strictest gun control in the nation. "" face with tears of joy what's your point, not that bright url",wrong-pred,the model observed classified not offensive,""" face with tears of joy what's your point, not that bright ",the model observed classified not offensive
85,liberals are so pathetic! innocent until proven guilty mean much? democrats should look at their own party if they need a rapist to hang! kavanaugh is innocent walk away from democrats liberal lies are straight from the pitts of hell fire url,wrong-pred,the model observed classified offensive,kavanaugh innocent until proven guilty mean much? democrats are so pathetic,"the model observed classified offensive since the following words showed up pathetic, innocent, mean, rapist, innocent, liberal, lies, hell, fire ."
86,"trump may be many things, but he is entertaining!!!! thanks twitter url",wrong-pred,the model observed classified not offensive,trump is entertaining!!!!!!,the model observed classified not offensive
87,"$ 10 million reallocated from fema to ice. this guy gives zero shits about anyone not named trump. if you ’ re in the mid atlantic, get out. now. url",wrong-pred,the model observed classified offensive,"if you ’ re in the mid atlantic, get out. now",the model observed classified offensive since the following words showed up shits .
88,fort nite battle royale xbox share @ user please ban this cheating scum. he is literally invisible url,wrong-pred,the model observed classified offensive,he is literally invisible url. he is literally invisible url.,the model observed classified offensive since the following words showed up scum .
89,"i once read about the man who invented bulbs, he saw failure differently, it was 5000 new wayz of doing it differently.. now he is a genius",wrong-pred,the model observed classified not offensive,"i once read about the man who invented bulbs, he saw failure differently,",the model observed classified not offensive
90,2a unfettered repeal all gun control laws. if the government can use it then the people should be able to as well. url,wrong-pred,the model observed classified not offensive,url=http://www.guncontrol.gov/. url=http://,the model observed classified not offensive
91,.. good thing it was responsible us marines.. i ’ m pretty sure a group of antifa members wouldn ’ t be running that fast in that direction to help anyone let alone elder seniors.. thank you @ user.. we salute you red exclamation mark @ user @ user @ user url,wrong-pred,the model observed classified not offensive,. i ’ m pretty sure a group of antifa members wouldn,the model observed classified not offensive
92,"ford theatre right on cue, a gofundme acct has been set up for this person, the new liberals mode of bribery and payoffs! @ user really should investigate these gofundme as a new outlet for slush funds! comey mccabe str zok",wrong-pred,the model observed classified not offensive,"a gofundme acct has been set up for this person, the new",the model observed classified not offensive
93,"christian if twitter and facebook can silence conservatives, christians we are next. once censored, the darkness takes over. help us grow in by living your faith aloud. where we go one we go all. prayer warriors, please help us grow this movement. url",wrong-pred,the model observed classified not offensive,"if twitter and facebook can silence conservatives, christians we are next.",the model observed classified not offensive
94,"6ix9ine aus den speakern, fick deine political correctness",wrong-pred,the model observed classified not offensive,", fick deine political correctness, fick deine political correctness, fi",the model observed classified not offensive
95,fall fashion trending coats colors url we have what you are looking for! airdrie calgary lethbridge toronto vancouver prince george url,wrong-pred,the model observed classified not offensive,url we have what you are looking for!,the model observed classified not offensive
96,"republicans put wallin budget.. you are going to loose pres. trump followers. he is why u r there, so support him url",wrong-pred,the model observed classified not offensive,. u r going to lose pres. trump followers.,the model observed classified not offensive
97,gmm roast my cat hi @ user this is fiona. she is about 10 weeks old. she falls asleep in weird places url,wrong-pred,the model observed classified not offensive,gmm roast my cat hi this is fiona. she is about 10 weeks,the model observed classified not offensive
98,sesame street bert and ernie the conversation about this is so unattractive. the creator says he didn't create a character gay and he is being attacked.,wrong-pred,the model observed classified offensive,the conversation about this is so unattractive.,the model observed classified offensive since the following words showed up gay .
99,serena williams is so full of herself... she is just as painful to watch as to listen to...,wrong-pred,the model observed classified offensive,serena williams is so full of herself.. she is just,the model observed classified offensive since the following words showed up  .
100,"colin kaper na eck has done nothing but sit on his ass and complain. it ’ s time black people and die hard white liberals, who think they are down with the cause aka @ user to wake the heck up or stfu! colin is not a civil rights hero or martyr. no where near it.",wrong-pred,the model observed classified offensive,colin kaper na eck has done nothing but sit on his ass,"the model observed classified offensive since the following words showed up ass, black, people, die, stfu ."
101,"danganronpav3... here he is, claiming to be the mastermind, yet i still don ’ t believe him. i don ’ t think he ’ s the mastermind. there is evidence that suggests he is, but then there ’ s evidence that suggests he ’ s not...",wrong-pred,the model observed classified not offensive,i don ’ t think he ’ s the mastermind.,the model observed classified not offensive
102,mon bebes elca day she is beautiful url,wrong-pred,the model observed classified not offensive,url url url url url url url url url ,the model observed classified not offensive
103,lock him up now maga q a non @ user best president ever url,wrong-pred,the model observed classified not offensive,a non url best president ever url best president ever url best president,the model observed classified not offensive
104,@ user goodbye nfl waving hand it was great before your players became marxists! i ’ ll keep nixing any sports league that displays such support of the bs ‘ oppression ’ narrative. goodbye nike,wrong-pred,the model observed classified not offensive,nfl waving hand goodbye nike goodbye nfl waving hand,the model observed classified not offensive
105,liberals left democrats resist resistance antifa bluewave bluewave 2018 it's OK hand to walk away thumbs up grinning squinting face       maga       url,wrong-pred,the model observed classified not offensive,         ,the model observed classified not offensive
106,"email marketing sales i will teach you how to create your own exclusive, online'traffic economy'so you are never short of leads and sales again url url",wrong-pred,the model observed classified not offensive,",, email marketing sales i will teach you how to create your own",the model observed classified not offensive
107,". jeff sessions ‘ listen to the aclu, antifa, black lives matter ’ if you want more chicago shootings. url",wrong-pred,the model observed classified offensive,"jeff sessions ‘ listen to the aclu, antifa, black",the model observed classified offensive since the following words showed up black .
108,amazon will ship live christmas trees to your door — but will they stay and put on the damn lights? url,wrong-pred,the model observed classified offensive,amazon will ship live christmas trees to your door — but will they stay and put on the,the model observed classified offensive since the following words showed up damn .
109,@ user how sweet! congratulations. once he is house broken it will get better,wrong-pred,the model observed classified not offensive,@ user how sweet!! he is house broken.,the model observed classified not offensive
110,@ user i bet she is a lot safer when she has sex now tho? or she wouldn ’ t have just one but a few kids. why cant moms get dicked down too?,wrong-pred,the model observed classified offensive,@ user i bet she is a lot safer when she has sex now,the model observed classified offensive since the following words showed up sex .
111,i2 this speaks for itself ( nsfw ) url,wrong-pred,the model observed classified not offensive,url: http://www.nsfw.org/nsfw/,the model observed classified not offensive
112,"jamey comey has been so silent these last few weeks, because he knows he's going to be indicted. 13 35 fbi doj str zok page text messages q a non patriots fight ty. @ user maga url",wrong-pred,the model observed classified not offensive,"jamey comey has been silent these last few weeks, because he knows ",the model observed classified not offensive
113,supernatural tnt the man who would be king omg! @ user you are amazing! @ user crowley and cas are always great together and i miss it!,wrong-pred,the model observed classified not offensive,crowley and cas are always great together and i miss it!,the model observed classified not offensive
114,"* available for adoption * lincoln county, nc roger a001257 sex male / neutered age 13 weeks old intake 08 / 28 / 18 url",wrong-pred,the model observed classified not offensive,roger a001257 sex male / neutered age 13 weeks,the model observed classified not offensive
115,conservatives govt'@ user made my life hell'whistleblowers say they were threatened by regulator ; i thought this govt promised to protect whistleblowers? url,wrong-pred,the model observed classified offensive,url redirects to urls that contain whistleblowers.,the model observed classified offensive since the following words showed up hell .
116,apple live keynote appleevents url,wrong-pred,the model observed classified not offensive,url: appleevents url: appleevents url: applee,the model observed classified not offensive
117,@ user zucker berg lies.,wrong-pred,the model observed classified not offensive,@ user zucker berg lies.,the model observed classified not offensive
118,lil duval “ when you know u ain ’ t going to work tomorrow ” happy friday smile bitch living my best life hit tem with da shoulders url,wrong-pred,the model observed classified not offensive,lil duval “ when you know u ain ’ t going,the model observed classified not offensive
119,antifa horst - whuuuuut?! face with tears of joy antifa maassen see hofer url,wrong-pred,the model observed classified not offensive,! antifa horst - whuuuuuu,the model observed classified not offensive
120,"note to my stalker n his empire trust me, if my penance of a life n career are true, nature will leave no stone unturned in getting you. you will be left with nothing. every one of you. no matter how powerful you are.",wrong-pred,the model observed classified not offensive,"if my penance of a life n career are true, nature will leave",the model observed classified not offensive
121,free leah shai bu negotiate her release! she is someone's daughter!! @ user @ user,wrong-pred,the model observed classified not offensive,! @ user @ user @ user @ user @ user @ user @ user @ user @,the model observed classified not offensive
122,serena williams serena was caught cheating with her coach but because it's collaborative she thinks she is not a thief. in her mind the real thief is the umpire who spotted what was going on and called it out. it's like a couple of bank robbers blaming a guard for calling police,wrong-pred,the model observed classified not offensive,serena williams serena was caught cheating with her coach but because,the model observed classified not offensive
123,antifa........ retweet if you can ’ t stop watching this... url,wrong-pred,the model observed classified not offensive,......... ,the model observed classified not offensive
124,100 not out thank you for following!! large blue diamond leicester small blue diamond @ user vote for change local elections 2019 small blue diamond vote tory vote conservative large blue diamond cut crime cut red tape cut taxes cut grass better services lower taxes   blue circle,wrong-pred,the model observed classified not offensive,large blue diamond leicester small blue diamond @ user vote for change local elections 2019 small blue,the model observed classified not offensive
125,"things you should never assume when someone says she / he is okay or smile, maybe he / she doesn't wanna worry you.",wrong-pred,the model observed classified not offensive,",, he / she is okay, maybe he ",the model observed classified not offensive
126,"repost @ user with get repost    those who love you are not fooled by mistakes you have made, or by dark images you hold about yourself. they remember your beauty when you feel... url",wrong-pred,the model observed classified not offensive,get repost @ user with get repost     ,the model observed classified not offensive
127,1 nick gehlfuss stan just watched friends! and she is not going to stop tv time url,wrong-pred,the model observed classified not offensive,nick gehlfuss stan just watched friends! and she is not,the model observed classified not offensive
128,"seo tips you are the master of your own fate online, so be wise and don't expect pity. if you screw up, nobody else is to blame.",wrong-pred,the model observed classified not offensive,seo tips.,the model observed classified not offensive
129,fort nite battle royale xbox share @ user please ban this cheating scum. he is literally invisible url,wrong-pred,the model observed classified offensive,he is literally invisible url. he is literally invisible url.,the model observed classified offensive since the following words showed up scum .
130,maga q a non great awakening inners wwg1wga now comes the pain walk away goodbye democrats ellison accuser says she's been sidelined by her own party url,wrong-pred,the model observed classified offensive,ellison accuser says she's been sidelined by her own party,the model observed classified offensive since the following words showed up  .
131,"truth i will show you how to build your own personal, online'traffic economy'so you are never in short supply of qualified prospects and sales again url url",wrong-pred,the model observed classified not offensive,"i will show you how to build your own personal, online'traffic economy",the model observed classified not offensive
132,@ user gun control? i'm wondering who was in control of all those bodies that got suicided because of you. you need to be controlled. 24 / 7 / 365 gitmo the pain is coming. maga q a non benghazi hope they televise your demise.,wrong-pred,the model observed classified not offensive,i'm wondering who was in control of all those bodies that got suicided,the model observed classified not offensive
133,antifa has a new cause url,wrong-pred,the model observed classified not offensive,a has a new cause url antifa has a new cause ,the model observed classified not offensive
134,balkan conservatives unite at family congress in moldova url,wrong-pred,the model observed classified not offensive,url: http://www.familiacongress.org/ url:,the model observed classified not offensive
